"BATCH_AMOUNT","DEPOSIT_DATE","TRANSMISSION_AMOUNT","RECEIPT_METHOD","CUSTOMER_ACCOUNT_NUMBER","TRANSACTION_REFERENCE","APPLIED_AMOUNT"
40000000,"220701",40000000,"Payable-Cost Reimbursement ","WTDBBL01/PAMA/1","DHK319225/WTDBBL01/BLWHDHK",40000000
65731.0295,"220701",65731.0295,"Payable -Commission Account","BARBAR05/PComA/7","BAR39000/BARBAR05/BLWHBAR",65731.0295
104472.6049,"220701",104472.6049,"Payable -Commission Account","BARBAR06/PComA/7","BAR39001/BARBAR06/BLWHBAR",104472.6049
83301.4615,"220701",83301.4615,"Payable -Commission Account","BARBHO04/PComA/7","BAR39005/BARBHO04/BLWHBAR",83301.4615
134124.3332,"220701",134124.3332,"Payable -Commission Account","BARPAT06/PComA/7","BAR39009/BARPAT06/BLWHBAR",134124.3332
95814.9201,"220701",95814.9201,"Payable -Commission Account","BARJHA01/PComA","BAR39007/BARJHA01/BLWHBAR",95814.9201
59875.1813,"220701",59875.1813,"Payable -Commission Account","BARBAR07/PComA/7","BAR39002/BARBAR07/BLWHBAR",59875.1813
362798,"220701",362798,"Payable -Commission Account","BARBAR09/PComA/7","BAR39004/BARBAR09/BLWHBAR",362798
13295.0084,"220701",13295.0084,"Payable -Commission Account","BARPIR04/PComA/7","BAR39010/BARPIR04/BLWHBAR",13295.0084
64480.7424,"220701",64480.7424,"Payable -Commission Account","BARBAG03/PComA/7","BAR38998/BARBAG03/BLWHBAR",64480.7424
176011,"220701",176011,"Payable -Commission Account","BARBHO05/PComA/7","BAR39006/BARBHO05/BLWHBAR",176011
105400.4546,"220701",105400.4546,"Payable -Commission Account","BARPIR02/PComA/6","BAR39008/BARPIR02/BLWHBAR",105400.4546
42637.7742,"220701",42637.7742,"Payable -Commission Account","BARBAR08/PComA/7","BAR39003/BARBAR08/BLWHBAR",42637.7742
3632.3733,"220701",3632.3733,"Payable-Cost Reimbursement ","BARBAR09/PAMA/1","BAR39004/BARBAR09/BLWHBAR",3632.3733
1556.7197,"220701",1556.7197,"Payable-Cost Reimbursement ","BARBHO05/PAMA/1","BAR39006/BARBHO05/BLWHBAR",1556.7197
145038.1173,"220701",145038.1173,"Payable -Commission Account","BARBAG05/PComA/7","BAR38999/BARBAG05/BLWHBAR",145038.1173
